              Procedure           Image            Address        Calls Instructions
             CPSignHash C:\Windows\system32\rsaenh.dll           74f50c1f            0         2909
         CPSetHashParam C:\Windows\system32\rsaenh.dll           74f39034            4       231034
       CPAcquireContext C:\Windows\system32\rsaenh.dll           74f37a41            1     15234037
             CPHashData C:\Windows\system32\rsaenh.dll           74f34d38            4        56890
         CPGetHashParam C:\Windows\system32\rsaenh.dll           74f34892            4         4185
            CPGenRandom C:\Windows\system32\rsaenh.dll           74f344ab           16         5624
 unnamedImageEntryPoint C:\Windows\system32\rsaenh.dll           74f312fd           43       403382
                  .text C:\Windows\system32\rsaenh.dll           74f31000            0         2822
CreateXmlReaderInputWithEncodingName C:\Windows\system32\xmllite.dll           7446669e           26        30916
        CreateXmlReader C:\Windows\system32\xmllite.dll           744638d3           26      1752338
 unnamedImageEntryPoint C:\Windows\system32\xmllite.dll           7446115d           43      2602048
                  .text C:\Windows\system32\xmllite.dll           74461000            0         2834
DwmExtendFrameIntoClientArea C:\Windows\system32\dwmapi.dll           736936ae            8         1040
            Ordinal_115 C:\Windows\system32\dwmapi.dll           736932c1            0         4319
DwmIsCompositionEnabled C:\Windows\system32\dwmapi.dll           73691e12            0          951
 unnamedImageEntryPoint C:\Windows\system32\dwmapi.dll           73691cbd            1           89
                  .text C:\Windows\system32\dwmapi.dll           73691000            0         2267
  GetProfilesDirectoryW C:\Windows\system32\USERENV.dll           75bb28a1            2           18
            Ordinal_204 C:\Windows\system32\USERENV.dll           75bb283c            1            9
GetUserProfileDirectoryW C:\Windows\system32\USERENV.dll           75bb2554            3          609
            Ordinal_142 C:\Windows\system32\USERENV.dll           75bb2356            3         2733
        DllCanUnloadNow C:\Windows\system32\USERENV.dll           75bb21f9            0          348
 unnamedImageEntryPoint C:\Windows\system32\USERENV.dll           75bb152d            1          290
                  .text C:\Windows\system32\USERENV.dll           75bb1000            0         6623
CM_Get_DevNode_Custom_Property_ExA C:\Windows\system32\SETUPAPI.dll           76e669f1            0           94
pSetupMakeSurePathExists C:\Windows\system32\SETUPAPI.dll           76e5712b            5          767
       pSetupAppendPath C:\Windows\system32\SETUPAPI.dll           76e56d49           11          677
    pSetupIsLocalSystem C:\Windows\system32\SETUPAPI.dll           76e56366            1          786
 pSetupConcatenatePaths C:\Windows\system32\SETUPAPI.dll           76e553f7           25         9969
     pSetupGetFileTitle C:\Windows\system32\SETUPAPI.dll           76e553a0            1          129
CM_Get_Device_Interface_List_SizeW C:\Windows\system32\SETUPAPI.dll           76e502ae            0           78
SetupDiEnumDeviceInterfaces C:\Windows\system32\SETUPAPI.dll           76e4cdd1            3          135
SetupDiOpenClassRegKeyExW C:\Windows\system32\SETUPAPI.dll           76e4cce9            3          159
  CM_Open_Class_Key_ExW C:\Windows\system32\SETUPAPI.dll           76e4cb78            3          240
   SetupDiGetClassDevsW C:\Windows\system32\SETUPAPI.dll           76e4cb15            1           35
 SetupDiGetClassDevsExW C:\Windows\system32\SETUPAPI.dll           76e4c840            3          456
SetupDiCreateDeviceInfoListExW C:\Windows\system32\SETUPAPI.dll           76e4ad41            3          270
pSetupDiInvalidateHelperModules C:\Windows\system32\SETUPAPI.dll           76e4ac2e            3          201
SetupDiDestroyDeviceInfoList C:\Windows\system32\SETUPAPI.dll           76e4a941            3          537
   pSetupStringFromGuid C:\Windows\system32\SETUPAPI.dll           76e4a730            3          510
CM_Get_Device_Interface_List_Size_ExW C:\Windows\system32\SETUPAPI.dll           76e4a35f            1         8336
CM_Get_Device_Interface_List_ExW C:\Windows\system32\SETUPAPI.dll           76e4a180            4          248
          pSetupRealloc C:\Windows\system32\SETUPAPI.dll           76e47aae            3          753
  pSetupDuplicateString C:\Windows\system32\SETUPAPI.dll           76e47a4e           25         3426
           pSetupMalloc C:\Windows\system32\SETUPAPI.dll           76e47990           60         1910
             pSetupFree C:\Windows\system32\SETUPAPI.dll           76e477fa           23        22246
 unnamedImageEntryPoint C:\Windows\system32\SETUPAPI.dll           76e4175d           45         4305
                  .text C:\Windows\system32\SETUPAPI.dll           76e41000            0         4716
                  .orpc C:\Program Files\Common Files\microsoft shared\ink\tiptsf.dll           66c31000            0         1246
ProcessCiceroCaretEvent C:\Program Files\Common Files\microsoft shared\ink\tiptsf.dll           66bfb7f3            0            5
      DllGetClassObject C:\Program Files\Common Files\microsoft shared\ink\tiptsf.dll           66bf9cd3            2         6152
     ProcessCaretEvents C:\Program Files\Common Files\microsoft shared\ink\tiptsf.dll           66bf1b73            0         1839
        DllCanUnloadNow C:\Program Files\Common Files\microsoft shared\ink\tiptsf.dll           66bf1a6f            1          112
 unnamedImageEntryPoint C:\Program Files\Common Files\microsoft shared\ink\tiptsf.dll           66bf15dd           46         7121
                  .text C:\Program Files\Common Files\microsoft shared\ink\tiptsf.dll           66bf1000            0         3040
 unnamedImageEntryPoint D:\Programes\TortoiseSVN\iconv\utf-8.so           6ed5156c            2          317
                  .text D:\Programes\TortoiseSVN\iconv\utf-8.so           6ed51000            0         4029
 unnamedImageEntryPoint D:\Programes\TortoiseSVN\iconv\cp936.so           6e90135e            2          317
